Constant_feature	Degree	Clustering_coefficient	Pagerank	Aver_path_len
1.0	2.0	0.0	0.00048788599628844776	8.892857142857142
1.0	2.0	0.0	0.0005078438358411189	10.011904761904763
1.0	2.0	0.0	0.0004975942241635274	10.154761904761905
1.0	2.0	0.0	0.0005706256433640143	10.488095238095237
1.0	2.0	0.0	0.0005033296239501761	12.273809523809524
1.0	2.0	0.0	0.0005116199015754092	11.488095238095237
1.0	1.0	0.0	0.00027552548109211367	9.785714285714286
1.0	2.0	0.0	0.0005167046056395983	13.702380952380953
1.0	1.0	0.0	0.00028674966462188226	11.619047619047619
1.0	1.0	0.0	0.0002755000528978735	10.142857142857142
1.0	2.0	0.0	0.0004913325865914766	10.642857142857142
1.0	2.0	0.0	0.0005426356490952114	16.047619047619047
1.0	1.0	0.0	0.0002926943795678944	15.392857142857142
1.0	1.0	0.0	0.0002874578454330218	13.523809523809524
1.0	2.0	0.0	0.000505431403936348	11.952380952380953
1.0	1.0	0.0	0.00030212390900101975	11.357142857142858
1.0	2.0	0.0	0.000501333447920901	13.023809523809524
1.0	1.0	0.0	0.0003122210962270963	12.25
1.0	1.0	0.0	0.00028132010146008794	10.738095238095237
1.0	2.0	0.0	0.0005214145021826162	14.666666666666666
1.0	2.0	0.0	0.000545288526225462	14.011904761904763
1.0	1.0	0.0	0.0003277125318582036	13.19047619047619
1.0	2.0	0.0	0.0005807967180098798	17.345238095238095
1.0	1.0	0.0	0.00029584537382211794	16.5
1.0	1.0	0.0	0.0003119227629718917	17.928571428571427
1.0	1.0	0.0	0.0003201595213524304	15.94047619047619
1.0	3.0	0.0	0.000718234765994603	8.75
1.0	3.0	0.0	0.0007113423179818874	8.69047619047619
1.0	2.0	0.0	0.0004828977744365854	8.880952380952381
1.0	3.0	0.0	0.0006983576278928261	8.988095238095237
1.0	3.0	0.0	0.0007045100374012044	8.928571428571429
1.0	3.0	0.0	0.0007758147231628831	9.523809523809524
1.0	3.0	0.0	0.0007277870474341703	8.797619047619047
1.0	3.0	0.0	0.0007272365842610525	9.119047619047619
1.0	3.0	0.0	0.0007325950588294695	9.738095238095237
1.0	2.0	0.0	0.0004951300740762704	9.44047619047619
1.0	2.0	0.0	0.00047766047920856864	9.238095238095237
1.0	3.0	0.0	0.0007682198794514234	10.630952380952381
1.0	3.0	0.0	0.0007753755753747158	10.30952380952381
1.0	3.0	0.0	0.0007366371883653127	11.642857142857142
1.0	3.0	0.0	0.0007273422722488851	9.154761904761905
1.0	3.0	0.0	0.000733156849661932	10.595238095238095
1.0	3.0	0.0	0.0007006884513587671	9.464285714285714
1.0	2.0	0.0	0.0004993907451682912	11.130952380952381
1.0	3.0	0.0	0.0007110244587672107	9.404761904761905
1.0	4.0	0.0	0.0010429543387229542	14.404761904761905
1.0	3.0	0.0	0.000772553741313241	12.535714285714286
1.0	3.0	0.0	0.0008151753689827402	10.369047619047619
1.0	3.0	0.0	0.0007447008419696191	12.928571428571429
1.0	2.0	0.0	0.0005173715840130144	13.678571428571429
1.0	3.0	0.0	0.0007736546318230337	15.178571428571429
1.0	3.0	0.0	0.0007777058399166839	12.0
1.0	3.0	0.0	0.0007800211161982656	14.428571428571429
1.0	3.0	0.0	0.0007516980043275944	10.119047619047619
1.0	3.0	0.0	0.0007466620514469176	9.75
1.0	2.0	0.0	0.0004838833107110484	9.833333333333334
1.0	3.0	0.0	0.0008551924875943898	11.261904761904763
1.0	3.0	0.0	0.0007191041442199585	10.178571428571429
1.0	1.0	0.0	0.0002895696602651409	11.297619047619047
1.0	1.0	0.0	0.0002926943795678944	15.392857142857142
1.0	3.0	0.0	0.0007283228132374659	12.273809523809524
1.0	3.0	0.0	0.0007258650044369729	11.130952380952381
1.0	2.0	0.0	0.0004940751236461143	11.714285714285714
1.0	1.0	0.0	0.00029088157591217407	12.988095238095237
1.0	3.0	0.0	0.0007519127245484272	13.095238095238095
1.0	1.0	0.0	0.0002920274011944782	15.416666666666666
1.0	3.0	0.0	0.0007666958964647254	12.511904761904763
1.0	3.0	0.0	0.0008999950850229488	12.202380952380953
1.0	1.0	0.0	0.0003142492145245972	11.476190476190476
1.0	1.0	0.0	0.00028150514675413427	11.107142857142858
1.0	3.0	0.0	0.0007484622770948307	13.797619047619047
1.0	2.0	0.0	0.0005214145021826162	14.666666666666666
1.0	3.0	0.0	0.0007932812185491556	15.511904761904763
1.0	3.0	0.0	0.0007976685253412439	16.38095238095238
1.0	3.0	0.0	0.0007932812185491558	15.511904761904763
1.0	1.0	0.0	0.0002871205998506365	13.5
1.0	1.0	0.0	0.0003277125318582036	13.19047619047619
1.0	3.0	0.0	0.0008555809477740636	16.94047619047619
1.0	3.0	0.0	0.0008992156628565811	17.88095238095238
1.0	1.0	0.0	0.00029584537382211794	16.5
1.0	3.0	0.0	0.0008789779643726156	14.952380952380953
1.0	1.0	0.0	0.00032784243737787617	18.86904761904762
1.0	1.0	0.0	0.00032784243737787617	18.86904761904762
1.0	1.0	0.0	0.000319292225289076	18.333333333333332
1.0	1.0	0.0	0.0003201595213524304	15.94047619047619
1.0	0.0	0.0	0.0	0.0
1.0	2.0	0.0	0.0005355403720943993	4.586206896551724
1.0	2.0	0.0	0.00051199259426295	5.0344827586206895
1.0	1.0	0.0	0.00027299006418942334	4.9655172413793105
1.0	1.0	0.0	0.0002870696894783781	5.620689655172414
1.0	1.0	0.0	0.000313109046474331	6.310344827586207
1.0	3.0	0.0	0.0006866267804499791	4.068965517241379
1.0	2.0	0.0	0.0004705372134317519	4.551724137931035
1.0	1.0	0.0	0.00033211818560935504	7.206896551724138
1.0	4.0	0.0	0.0009891539163029098	3.896551724137931
1.0	3.0	0.0	0.0007036176706422222	3.6206896551724137
1.0	3.0	0.0	0.0006773996671287964	3.689655172413793
1.0	3.0	0.0	0.0007091207254225658	4.0
1.0	2.0	0.0	0.00046736616303638505	4.517241379310345
1.0	2.0	0.0	0.0004711603968961249	3.689655172413793
1.0	2.0	0.0	0.000554735715658084	4.793103448275862
1.0	3.0	0.0	0.0007207613118384068	4.0
1.0	3.0	0.0	0.0006825988657881575	4.413793103448276
1.0	3.0	0.0	0.0006765391296228726	4.0
1.0	2.0	0.0	0.0004995192691658414	4.758620689655173
1.0	3.0	0.0	0.0007675572526119473	4.655172413793103
1.0	2.0	0.0	0.00047272119459453634	4.9655172413793105
1.0	1.0	0.0	0.0003064276541607853	5.758620689655173
1.0	3.0	0.0	0.0007040865536892601	5.517241379310345
1.0	3.0	0.0	0.0007034104279995822	5.103448275862069
1.0	3.0	0.0	0.0008551138221635115	5.344827586206897
1.0	2.0	0.0	0.0004973778456570714	6.344827586206897
1.0	2.0	0.0	0.0004969828571798517	5.931034482758621
1.0	2.0	0.0	0.0006119488886733503	6.241379310344827
1.0	2.0	0.0	0.0005097811031947688	7.172413793103448
1.0	2.0	0.0	0.0005098027613925983	6.758620689655173
1.0	1.0	0.0	0.0002940704518304143	4.0
1.0	1.0	0.0	0.0002984996355693748	4.5
1.0	2.0	0.0	0.0005145837587964788	2.642857142857143
1.0	3.0	0.0	0.000762111296461767	2.5714285714285716
1.0	3.0	0.0	0.0007611747873084808	2.857142857142857
1.0	3.0	0.0	0.0007929588845374622	3.0714285714285716
1.0	2.0	0.0	0.0005276065669739825	3.0714285714285716
1.0	2.0	0.0	0.0005270650641852313	3.5
1.0	2.0	0.0	0.0005270650641852313	3.5
1.0	3.0	0.0	0.0008045547179114812	3.5714285714285716
1.0	2.0	0.0	0.000536845162823304	3.5714285714285716
1.0	2.0	0.0	0.0005405557478259599	4.071428571428571
1.0	2.0	0.0	0.0005358293668065881	4.142857142857143
1.0	2.0	0.0	0.0005358293668065881	4.142857142857143
1.0	2.0	0.0	0.0005398336973827547	4.785714285714286
1.0	1.0	0.0	0.0002853425292561587	3.9444444444444446
1.0	1.0	0.0	0.0002821939325046453	3.9444444444444446
1.0	3.0	0.0	0.0007576206747450863	3.388888888888889
1.0	2.0	0.0	0.0005375841711717461	5.555555555555555
1.0	2.0	0.0	0.0005349911204553578	4.833333333333333
1.0	2.0	0.0	0.0005349911204553578	4.833333333333333
1.0	2.0	0.0	0.0005241032342280666	4.111111111111111
1.0	2.0	0.0	0.0005241032342280666	4.111111111111111
1.0	3.0	0.0	0.0007611645682029084	3.0
1.0	3.0	0.0	0.000738069937370565	2.8333333333333335
1.0	3.0	0.0	0.0007504949818640204	3.0
1.0	3.0	0.0	0.0007320204054533322	3.2777777777777777
1.0	2.0	0.0	0.0005040163040500616	3.3333333333333335
1.0	3.0	0.0	0.0007317830882264795	3.7777777777777777
1.0	2.0	0.0	0.0005037874953789542	3.611111111111111
1.0	2.0	0.0	0.0005099484874816914	4.0
1.0	2.0	0.0	0.0005111741755816309	4.5
1.0	2.0	0.0	0.0005211215041760675	4.722222222222222
1.0	2.0	0.0	0.0005203615564162626	5.222222222222222
1.0	1.0	0.0	0.00028646339367871	4.619047619047619
1.0	1.0	0.0	0.00029150315072582725	5.190476190476191
1.0	1.0	0.0	0.0002903896923179234	4.904761904761905
1.0	2.0	0.0	0.0004958550033866884	4.476190476190476
1.0	1.0	0.0	0.0002803077990406726	4.285714285714286
1.0	2.0	0.0	0.0004968390824946292	4.714285714285714
1.0	1.0	0.0	0.00027618030957521844	4.380952380952381
1.0	2.0	0.0	0.0004972785565495934	3.4285714285714284
1.0	3.0	0.0	0.000709439353628518	2.9047619047619047
1.0	3.0	0.0	0.0007228221792309267	3.1904761904761907
1.0	3.0	0.0	0.0007664095073531147	3.6666666666666665
1.0	2.0	0.0	0.0005031027985602128	3.4761904761904763
1.0	3.0	0.0	0.0007824381102328681	4.238095238095238
1.0	3.0	0.0	0.0007794801753663452	3.9523809523809526
1.0	3.0	0.0	0.0006972805478998729	2.8095238095238093
1.0	3.0	0.0	0.000709128985711855	3.0476190476190474
1.0	3.0	0.0	0.0007450623018849351	3.3333333333333335
1.0	2.0	0.0	0.00047863987433491463	3.2857142857142856
1.0	3.0	0.0	0.0007313961442158492	3.4285714285714284
1.0	3.0	0.0	0.000708717081276951	3.6666666666666665
1.0	3.0	0.0	0.0007124819687446434	3.9047619047619047
1.0	2.0	0.0	0.0005033732189172088	5.0
1.0	1.0	0.0	0.0002942839912157213	4.166666666666667
1.0	3.0	0.0	0.0007840645029829727	2.8333333333333335
1.0	1.0	0.0	0.00031605708973493933	4.5
1.0	3.0	0.0	0.0007454393551317352	2.3333333333333335
1.0	3.0	0.0	0.000744202128034553	2.4166666666666665
1.0	2.0	0.0	0.0005164332437785504	2.6666666666666665
1.0	2.0	0.0	0.0005164588428128772	2.75
1.0	2.0	0.0	0.0005144380159715102	2.5833333333333335
1.0	2.0	0.0	0.0005180847130651306	2.8333333333333335
1.0	2.0	0.0	0.0005232042096994097	2.9166666666666665
1.0	2.0	0.0	0.0005272332855870869	3.1666666666666665
1.0	3.0	0.0	0.0007902684514528187	3.25
1.0	2.0	0.0	0.0005752712640171152	3.5833333333333335
1.0	2.0	0.0	0.0005126042257915703	5.3
1.0	1.0	0.0	0.0002801356824189309	5.166666666666667
1.0	1.0	0.0	0.0002733262525286275	5.033333333333333
1.0	2.0	0.0	0.000544515500128746	5.533333333333333
1.0	1.0	0.0	0.0002874516169262281	5.933333333333334
1.0	2.0	0.0	0.0006128591705774028	6.566666666666666
1.0	1.0	0.0	0.00031361352132472516	6.633333333333334
1.0	3.0	0.0	0.0006885771645107164	4.033333333333333
1.0	2.0	0.0	0.00047261055867615735	4.466666666666667
1.0	3.0	0.0	0.0007058190170903644	3.8333333333333335
1.0	4.0	0.0	0.0009925472517395987	4.2
1.0	3.0	0.0	0.0006797492998597984	3.7
1.0	2.0	0.0	0.0004697884769002963	4.366666666666666
1.0	3.0	0.0	0.0007101169256190301	4.166666666666667
1.0	3.0	0.0	0.000688288250472603	4.2
1.0	3.0	0.0	0.0006797471839419439	3.9
1.0	2.0	0.0	0.000472180325114129	3.8
1.0	3.0	0.0	0.0007224691257208523	4.066666666666666
1.0	2.0	0.0	0.0005005853180070163	4.933333333333334
1.0	2.0	0.0	0.0005370919799476221	4.9
1.0	3.0	0.0	0.0007697822976657197	4.966666666666667
1.0	3.0	0.0	0.0007212798098877388	4.633333333333334
1.0	3.0	0.0	0.0007100074354773207	5.2
1.0	3.0	0.0	0.0007069005051226108	4.9
1.0	3.0	0.0	0.0008556711533447895	5.666666666666667
1.0	2.0	0.0	0.0005000325924980453	6.033333333333333
1.0	2.0	0.0	0.0004988218425104166	5.733333333333333
1.0	2.0	0.0	0.0005117575450151474	6.866666666666666
1.0	2.0	0.0	0.0005115015664210214	6.566666666666666
1.0	1.0	0.0	0.00030172803324639996	6.5
1.0	1.0	0.0	0.00033217974828496914	7.533333333333333
1.0	1.0	0.0	0.0002955036091577427	6.5
1.0	1.0	0.0	0.00029098913549823477	5.409090909090909
1.0	3.0	0.0	0.0007423169795749414	4.5
1.0	2.0	0.0	0.0005152436752365348	4.2272727272727275
1.0	3.0	0.0	0.0007464820840613627	4.090909090909091
1.0	2.0	0.0	0.0005098865769599567	4.2272727272727275
1.0	2.0	0.0	0.0005098865769599567	4.2272727272727275
1.0	2.0	0.0	0.0005084433573947047	4.363636363636363
1.0	2.0	0.0	0.0005084433573947047	4.363636363636363
1.0	2.0	0.0	0.0005060307858283401	4.909090909090909
1.0	3.0	0.0	0.0007556119408607372	5.409090909090909
1.0	3.0	0.0	0.0007791930823480566	4.454545454545454
1.0	2.0	0.0	0.0005239417150481364	6.181818181818182
1.0	2.0	0.0	0.0005239417150481364	6.181818181818182
1.0	3.0	0.0	0.0007683084546616127	4.863636363636363
1.0	2.0	0.0	0.0005340318185796274	6.954545454545454
1.0	2.0	0.0	0.0005340318185796274	6.954545454545454
1.0	2.0	0.0	0.0005376408047204666	7.7272727272727275
1.0	3.0	0.0	0.0007937077534886698	5.545454545454546
1.0	2.0	0.0	0.0005283312168124151	5.636363636363637
1.0	2.0	0.0	0.0005395101183944522	6.318181818181818
1.0	2.0	0.0	0.0005391366668344127	6.409090909090909
1.0	2.0	0.0	0.0005405482296449903	7.090909090909091
1.0	1.0	0.0	0.0002904521893135531	3.0
1.0	2.0	0.0	0.0005175732911512275	2.3
1.0	2.0	0.0	0.0005131266243663486	2.6
1.0	2.0	0.0	0.0005131927786501283	2.6
1.0	2.0	0.0	0.0005281576752017827	2.4
1.0	1.0	0.0	0.00029436270968426366	3.3
1.0	3.0	0.0	0.0007447115882282178	2.0
1.0	3.0	0.0	0.0007431570166028859	2.0
1.0	3.0	0.0	0.0007780861903019037	2.1
1.0	3.0	0.0	0.0007909674347157353	2.4
1.0	2.0	0.0	0.0005185071193476928	2.9
1.0	1.0	0.0	0.0003008189675341705	7.25
1.0	0.0	0.0	0.0	0.0
1.0	1.0	0.0	0.0003003288771413995	4.55
1.0	3.0	0.0	0.0007745399014155714	4.45
1.0	2.0	0.0	0.0005327701702011706	4.0
1.0	4.0	0.0	0.0010778457192940532	3.65
1.0	2.0	0.0	0.0005335953247651072	5.2
1.0	2.0	0.0	0.0005335953247651072	5.2
1.0	2.0	0.0	0.0005402528356818201	5.95
1.0	2.0	0.0	0.0005402528356818201	5.95
1.0	2.0	0.0	0.0005443974744602918	6.7
1.0	1.0	0.0	0.0002997021945642262	4.6
1.0	1.0	0.0	0.0002997021945642262	4.6
1.0	3.0	0.0	0.0008135751100857277	3.6
1.0	2.0	0.0	0.000539804493332745	3.75
1.0	2.0	0.0	0.0005324297429094614	4.0
1.0	3.0	0.0	0.0007753915693335507	4.35
1.0	2.0	0.0	0.0005323459737948739	5.0
1.0	2.0	0.0	0.0005323459737948739	5.0
1.0	2.0	0.0	0.0005404483322072562	5.65
1.0	2.0	0.0	0.0005404483322072562	5.65
1.0	3.0	0.0	0.0008134256494324295	6.3
1.0	1.0	0.0	0.00027780409209638595	5.354838709677419
1.0	1.0	0.0	0.00027780409209638595	5.354838709677419
1.0	1.0	0.0	0.00028676486057552285	6.516129032258065
1.0	1.0	0.0	0.00028676486057552274	6.516129032258065
1.0	1.0	0.0	0.00034534247283470076	9.806451612903226
1.0	1.0	0.0	0.00034534247283470076	9.806451612903226
1.0	2.0	0.0	0.0005209934794920226	4.967741935483871
1.0	2.0	0.0	0.0005209934794920225	4.967741935483871
1.0	2.0	0.0	0.0005842624476114057	7.096774193548387
1.0	2.0	0.0	0.0005842624476114057	7.096774193548387
1.0	3.0	0.0	0.0007093747416516158	4.0
1.0	3.0	0.0	0.0007093747416516157	4.0
1.0	3.0	0.0	0.0007290305726512478	4.387096774193548
1.0	3.0	0.0	0.0007290305726512478	4.387096774193548
1.0	3.0	0.0	0.0007255781599053889	4.774193548387097
1.0	3.0	0.0	0.0007255781599053887	4.774193548387097
1.0	3.0	0.0	0.0007371179634948787	4.387096774193548
1.0	3.0	0.0	0.0007371179634948788	4.387096774193548
1.0	2.0	0.0	0.0005007513706128173	4.774193548387097
1.0	2.0	0.0	0.0005007513706128173	4.774193548387097
1.0	2.0	0.0	0.0005450856934787698	5.612903225806452
1.0	2.0	0.0	0.0005450856934787698	5.612903225806452
1.0	3.0	0.0	0.0007670255246961578	5.548387096774194
1.0	3.0	0.0	0.0007670255246961578	5.548387096774194
1.0	2.0	0.0	0.0005655415275210239	6.32258064516129
1.0	2.0	0.0	0.0005655415275210239	6.32258064516129
1.0	2.0	0.0	0.0005213839466275325	6.32258064516129
1.0	2.0	0.0	0.0005213839466275324	6.32258064516129
1.0	2.0	0.0	0.0006086734941230694	7.935483870967742
1.0	2.0	0.0	0.0006086734941230694	7.935483870967742
1.0	2.0	0.0	0.0006404254599929006	8.838709677419354
1.0	2.0	0.0	0.0006404254599929006	8.838709677419354
1.0	2.0	0.0	0.0004891328564222714	3.95
1.0	1.0	0.0	0.00027623449162641654	4.15
1.0	1.0	0.0	0.00027877897732038416	5.2
1.0	2.0	0.0	0.0005206182885486811	4.6
1.0	3.0	0.0	0.0006916797911768919	3.5
1.0	3.0	0.0	0.0007061732405929984	3.25
1.0	3.0	0.0	0.0007009779774409437	3.35
1.0	3.0	0.0	0.0007091177163430655	4.0
1.0	3.0	0.0	0.0007161344006490358	3.05
1.0	3.0	0.0	0.0007322504831791192	3.2
1.0	2.0	0.0	0.0004819805603288979	3.3
1.0	2.0	0.0	0.0004945183811050287	4.0
1.0	3.0	0.0	0.0007403667850242913	4.25
1.0	2.0	0.0	0.0004953562118320599	4.75
1.0	2.0	0.0	0.0005020239198353539	4.5
1.0	2.0	0.0	0.0004962097937451735	3.4
1.0	3.0	0.0	0.0007477876203433925	3.85
1.0	2.0	0.0	0.0005206182885486811	4.6
1.0	2.0	0.0	0.0005313220424197246	5.35
1.0	2.0	0.0	0.0005313220424197246	5.35
1.0	2.0	0.0	0.0005354131282650023	6.1
1.0	1.0	0.0	0.0003002595650578202	7.875
1.0	4.0	0.0	0.0010359486805352654	4.333333333333333
1.0	1.0	0.0	0.0002907472428145687	5.291666666666667
1.0	1.0	0.0	0.0002907472428145687	5.291666666666667
1.0	2.0	0.0	0.0006125410653955423	7.208333333333333
1.0	1.0	0.0	0.0003134178736949201	7.291666666666667
1.0	2.0	0.0	0.0005105421027402481	4.125
1.0	2.0	0.0	0.0004941761400594719	4.666666666666667
1.0	2.0	0.0	0.0004945719799809015	5.125
1.0	2.0	0.0	0.0005363166125196254	5.625
1.0	3.0	0.0	0.0007143321653332299	4.25
1.0	3.0	0.0	0.0007306804382953281	4.0
1.0	3.0	0.0	0.0007175711155274871	4.708333333333333
1.0	2.0	0.0	0.0004910722611604459	4.125
1.0	2.0	0.0	0.0005001346882999067	4.458333333333333
1.0	2.0	0.0	0.0004962418793280275	4.583333333333333
1.0	3.0	0.0	0.0007672556937810766	4.791666666666667
1.0	3.0	0.0	0.0007425232831078838	5.0
1.0	2.0	0.0	0.0005267852765160268	5.5
1.0	2.0	0.0	0.0005267852765160268	5.5
1.0	2.0	0.0	0.0005385137905410741	6.208333333333333
1.0	2.0	0.0	0.0005385137905410741	6.208333333333333
1.0	3.0	0.0	0.0008078154329823318	6.916666666666667
1.0	3.0	0.0	0.000854845414094549	6.333333333333333
1.0	1.0	0.0	0.0003319669373710983	8.166666666666666
