Constant_feature	Degree	Clustering_coefficient	Pagerank	Aver_path_len
1.0	1.0	0.0	0.0006002015406263231	8.28
1.0	0.0	0.0	0.0	0.0
1.0	2.0	0.0	0.0009991649858124567	6.12
1.0	3.0	0.0	0.001495895937015406	5.64
1.0	2.0	0.0	0.0008964923162864746	3.88
1.0	2.0	0.0	0.0008522471847283069	4.92
1.0	2.0	0.0	0.0009823097865227037	5.08
1.0	2.0	0.0	0.0009628316545841504	4.6
1.0	2.0	0.0	0.0009366087978611387	4.2
1.0	3.0	0.0	0.0012511339708559928	3.64
1.0	2.0	0.0	0.0010493351316744864	6.44
1.0	2.0	0.0	0.0010733157701163414	6.52
1.0	3.0	0.0	0.0012469518228746465	3.96
1.0	3.0	0.0	0.0012472598075305781	4.12
1.0	3.0	0.0	0.001253625813523293	4.44
1.0	3.0	0.0	0.0012538891526729036	4.6
1.0	2.0	0.0	0.0011112770564320018	7.32
1.0	1.0	0.0	0.0005823217317335594	7.48
1.0	2.0	0.0	0.0008787468496636663	4.6
1.0	2.0	0.0	0.0008793196880152968	4.92
1.0	2.0	0.0	0.00088174672724721	5.08
1.0	2.0	0.0	0.0008820794731711342	5.4
1.0	3.0	0.0	0.0013509056044187923	5.24
1.0	2.0	0.0	0.0009014148209992464	5.72
1.0	2.0	0.0	0.0009016000391907381	5.72
1.0	2.0	0.0	0.0009020503417059981	6.2
1.0	1.0	0.0	0.0005495072948368473	7.08
1.0	1.0	0.0	0.0006057976554821558	8.416666666666666
1.0	0.0	0.0	0.0	0.0
1.0	2.0	0.0	0.0009994904215435535	5.916666666666667
1.0	2.0	0.0	0.0008987771244373863	3.7916666666666665
1.0	3.0	0.0	0.0015267807744883187	5.791666666666667
1.0	2.0	0.0	0.0008523336984496011	4.708333333333333
1.0	2.0	0.0	0.0009703515046859291	4.625
1.0	2.0	0.0	0.0009422231036022885	4.166666666666667
1.0	2.0	0.0	0.000996676471953319	5.166666666666667
1.0	3.0	0.0	0.001253370202999011	3.5
1.0	3.0	0.0	0.0012474101289369729	3.7916666666666665
1.0	3.0	0.0	0.0012477244408663117	3.9583333333333335
1.0	2.0	0.0	0.0010651698716429847	6.583333333333333
1.0	3.0	0.0	0.0012544350364717977	4.25
1.0	3.0	0.0	0.0012547312705945498	4.416666666666667
1.0	2.0	0.0	0.0008792987352767694	4.416666666666667
1.0	1.0	0.0	0.0005590731134689046	6.75
1.0	2.0	0.0	0.0008799337018243986	4.75
